Subject	Sample	FA
Y13RP	1	0.9299
Y13RP	2	0.3151
Y13RP	3	0.6024
Y18RV	1	0.4804
Y18RV	2	0.3915
Y18RV	3	0.7802
Q23RP	1	0.3046
Q23RP	2	0.4282
Q23RP	3	0.3349
Q92RV	1	0.3341
Q92RV	2	0.2426
Q92RV	3	0.6261
Y91SP	1	0.5876
Y91SP	2	0.9754
Y91SP	3	0.9958
Y43SV	1	0.8031
Y43SV	2	0.7358
Y43SV	3	0.6605
Q99SP	1	0.3373
Q99SP	2	0.6853
Q99SP	3	0.7475
Q12SV	1	0.9186
Q12SV	2	0.9822
Q12SV	3	0.3023
M12RV	1	0.5796
M12RV	2	0.7029
M12RV	3	0.9484
M33RP	1	0.2509
M33RP	2	0.3367
M33RP	3	0.3042
M54RV	1	0.3162
M54RV	2	0.8603
M54RV	3	0.9979
