ID,Revenue
K1213,8429.43
K1214,7364.7
K1215,7126.09
K1216,2865.27
K1217,8467.54
K1218,301.46
K1219,3133.59
K1220,7569.91
K1221,614.61
K1222,9458.19
K1223,1612.55
K1224,9422.09
K1225,9476.18
K1226,7047.75
K1227,1603.32
K1228,6196.15
K1229,1573.09
K1230,7340.9
K1231,4592.67
K1232,8182.87
K1233,1322.88
K1234,5532.73
K1235,7074.21
K1236,2879.97
K1237,2024
K1238,7199.38
K1239,4946.3
K1240,7552.54
K1241,5344.72
K1242,5153.2
K1243,593.79
K1244,296.6
K1245,411.27
K1246,8721.25
K1247,7655.28
K1248,1099.96
K1249,3183.17
K1250,9058.53
K1251,7128.78
K1252,5240.59
K1253,7362.72
K1254,2460.53
K1255,6309.67
K1256,7750.18
K1257,6879.05
K1258,2008.07
K1259,9112.09
K1260,4983.01
K1261,6521.45
K1262,8851.07
K1263,4689.09
K1264,1416.41
K1265,9037.11
K1266,3730.13
K1267,5194.55
K1268,9960.64
K1269,4591
K1270,7928.88
K1271,7854.31
K1272,1121.43
K1273,5879.42
K1274,3567.52
K1275,9803.76
K1276,7682.64
K1277,9347.79
K1278,3954.67
K1279,8769.56
K1280,5244.52
K1281,9820.07
K1282,9496.58
K1283,8798.16
K1284,8510.29
K1285,4790.22
K1286,840.64
K1287,6069.45
K1288,453.26
K1289,4567.44
K1290,4983.81
K1291,1863.95
K1292,858.79
K1293,5403.47
K1294,7648.88
K1295,9734.12
K1296,9430.25
K1297,9149.06
K1298,538.45
K1299,8335.05
K1300,66.18
K1301,5967.07
K1302,6363.36
K1303,8302.95
K1304,6849.59
K1305,1936.07
K1306,5218.47
K1307,6602.72
K1308,5124.1
K1309,6475.98
K1310,2332.54
K1311,9086.56
K1312,371.68
K1313,3980.42
K1314,4530.48
K1315,8068.67
