ID,YearStart,Interest,YearTerm
K1213,2005,0.03,2035
K1214,1993,0.03,2023
K1215,2005,0.05,2020
K1216,2006,0.03,2021
K1217,2013,0.02,2028
K1218,2017,0.04,2047
K1219,1997,0.03,2012
K1220,1998,0.04,2013
K1221,2015,0.06,2030
K1222,1996,0.05,2011
K1223,2017,0.05,2032
K1224,2000,0.06,2015
K1225,1999,0.03,2029
K1226,2017,0.04,2032
K1227,2013,0.03,2028
K1228,2011,0.03,2026
K1229,2010,0.06,2025
K1230,2012,0.02,2042
K1231,2001,0.05,2031
K1232,2014,0.04,2044
K1233,2006,0.07,2036
K1234,1997,0.01,2012
K1235,1997,0.05,2012
K1236,1993,0.02,2023
K1237,2007,0.04,2037
K1238,2003,0.07,2033
K1239,2003,0.07,2033
K1240,2008,0.02,2038
K1241,2015,0.04,2030
K1242,2012,0.07,2042
K1243,2015,0.05,2045
K1244,2012,0.04,2042
K1245,1999,0.05,2029
K1246,2009,0.04,2024
K1247,1994,0.06,2009
K1248,2016,0.03,2046
K1249,2003,0.06,2033
K1250,2007,0.01,2022
K1251,2004,0.02,2019
K1252,1994,0.06,2009
K1253,2016,0,2031
K1254,1997,0.04,2012
K1255,2009,0,2039
K1256,1994,0.04,2024
K1257,1995,0,2025
K1258,2004,0.01,2034
K1259,2002,0.06,2017
K1260,1997,0.03,2012
K1261,1997,0.04,2027
K1262,2015,0.06,2030
K1263,2008,0.07,2023
K1264,1994,0.01,2024
K1265,2012,0,2042
K1266,2009,0.06,2039
K1267,2000,0.04,2015
K1268,2013,0.06,2043
K1269,1993,0.01,2008
K1270,1994,0.05,2009
K1271,2013,0.03,2028
K1272,2011,0.04,2026
K1273,1993,0,2023
K1274,2004,0.04,2019
K1275,2001,0.06,2031
K1276,1995,0.06,2025
K1277,2006,0.06,2021
K1278,2010,0,2025
K1279,2000,0.05,2015
K1280,1998,0.02,2013
K1281,1994,0.04,2024
K1282,2011,0.01,2041
K1283,2016,0.02,2046
K1284,2005,0.04,2035
K1285,2007,0,2022
K1286,2014,0.03,2044
K1287,2007,0,2022
K1288,2010,0.04,2025
K1289,2004,0.06,2034
K1290,1996,0.06,2011
K1291,1992,0.04,2007
K1292,2016,0.01,2031
K1293,2005,0.05,2035
K1294,2016,0.06,2031
K1295,2015,0.05,2045
K1296,2007,0.06,2037
K1297,2014,0.04,2044
K1298,1995,0.06,2025
K1299,2009,0.07,2039
K1300,1997,0.04,2012
K1301,2002,0.04,2017
K1302,2015,0.03,2045
K1303,1994,0.01,2024
K1304,2014,0.03,2044
K1305,2006,0,2021
K1306,1992,0.01,2022
K1307,2009,0.05,2024
K1308,2009,0.03,2039
K1309,2007,0.07,2022
K1310,2004,0.03,2019
K1311,2015,0.06,2045
K1312,2014,0.06,2044
K1313,1998,0.01,2028
K1314,2007,0.05,2022
K1315,1993,0.02,2008
