StoreNo,Lease,Income
J77,5686,4075854.833
J45,5976,4046214.675
J23,5500,3922377.736
J22,5881,4096664.449
J19,5854,4254465.116
J11,5069,4077877.911
J01,5692,4121270.72
R12,6131,4080012.23
R13,5819,4132539.716
R23,5735,3925311.907
R87,5059,4215345.514
R33,5829,4181453.783
R02,5594,3924650.451
R77,5434,4165225.134
R88,5585,4195616.113
R61,5093,3527778.505
R42,5175,4120056.595
C02,5224,4004220.719
C12,5833,3946998.013
C14,5620,4181595.634
C27,5284,3774927.56
C19,5151,4535762.755
C33,5505,3874564.98
C98,5364,3785769.059
C23,6047,4160492.487
